Quote Name,Type,BID,MID,ASK
MM.PEN.TIBO.ON,Yield,4.24,4.25,4.26
Swap.3M.PEN.TIBO,Yield,4.29,4.30,4.31
Swap.6M.PEN.TIBO,Yield,4.31,4.32,4.33
Swap.9M.PEN.TIBO,Yield,4.33,4.34,4.35
Swap.12M.PEN.TIBO,Yield,4.33,4.35,4.37
Swap.18M.PEN.TIBO,Yield,4.39,4.40,4.41
Swap.24M.PEN.TIBO,Yield,4.44,4.45,4.47
Bond.PEN.TIBO.2029-02-12,Price,105.857,105.954,106.051
Bond.PEN.TIBO.2031-08-12,Price,114.439,114.555,114.671
Bond.PEN.TIBO.2032-08-12,Price,108.598,108.707,108.816
Bond.PEN.TIBO.2034-08-12,Price,97.785,97.873,97.960
Bond.PEN.TIBO.2037-08-12,Price,102.772,102.887,103.001
Bond.PEN.TIBO.2040-08-12,Price,87.494,87.620,87.745
Bond.PEN.TIBO.2042-02-12,Price,101.968,102.846,103.725
Bond.PEN.TIBO.2055-02-12,Price,101.752,102.810,103.869
