Quote Name,Type,BID,MID,ASK
MM.USD.SOFR.ON.LIBOR01,Yield,3.66000000,3.66000000,3.66000000
Swap.1M.USD.SOFR.1D/1Y.LIBOR01,Yield,3.65491000,3.65950000,3.66409000
Swap.2M.USD.SOFR.1D/1Y.LIBOR01,Yield,3.68304000,3.68810500,3.69317000
Swap.3M.USD.SOFR.1D/1Y.LIBOR01,Yield,3.71592000,3.72150000,3.72708000
Swap.6M.USD.SOFR.1D/1Y.LIBOR01,Yield,3.82421000,3.82790000,3.83159000
Swap.9M.USD.SOFR.1D/1Y.LIBOR01,Yield,3.90253000,3.91000000,3.91747000
Swap.1Y.USD.SOFR.1D/1Y.LIBOR01,Yield,3.97271000,3.97500000,3.97729000
Swap.18M.USD.SOFR.1D/1Y.LIBOR01,Yield,3.97978000,3.98350000,3.98722000
Swap.2Y.USD.SOFR.1D/1Y.LIBOR01,Yield,3.98595000,3.98825000,3.99055000
Swap.3Y.USD.SOFR.1D/1Y.LIBOR01,Yield,3.95206000,3.95449000,3.95693000
Swap.4Y.USD.SOFR.1D/1Y.LIBOR01,Yield,3.93444000,3.93613500,3.93783000
Swap.5Y.USD.SOFR.1D/1Y.LIBOR01,Yield,3.93579000,3.93925000,3.94271000
Swap.6Y.USD.SOFR.1D/1Y.LIBOR01,Yield,3.95291000,3.95515000,3.95739000
Swap.7Y.USD.SOFR.1D/1Y.LIBOR01,Yield,3.97599000,3.97775000,3.97951000
Swap.8Y.USD.SOFR.1D/1Y.LIBOR01,Yield,4.00077000,4.00310000,4.00543000
Swap.9Y.USD.SOFR.1D/1Y.LIBOR01,Yield,4.03002000,4.03230000,4.03458000
Swap.10Y.USD.SOFR.1D/1Y.LIBOR01,Yield,4.06142000,4.06375000,4.06608000
Swap.12Y.USD.SOFR.1D/1Y.LIBOR01,Yield,4.12462000,4.12691500,4.12921000
Swap.15Y.USD.SOFR.1D/1Y.LIBOR01,Yield,4.20807000,4.21090500,4.21374000
Swap.20Y.USD.SOFR.1D/1Y.LIBOR01,Yield,4.27755000,4.28046500,4.28338000
Swap.25Y.USD.SOFR.1D/1Y.LIBOR01,Yield,4.27266000,4.27546500,4.27827000
Swap.30Y.USD.SOFR.1D/1Y.LIBOR01,Yield,4.23361000,4.23665000,4.23969000
