Quote Name;Type;BID;MID;ASK
FX.USD.MXN;Price;17.1470340400;17.1470340400;17.1470340400
FX.USD.MXN.1W;Price;94.2700000000;96.5000000000;98.7300000000
FX.USD.MXN.1M;Price;436.5100000000;441.5000000000;446.4900000000
FX.USD.MXN.2M;Price;860.0500000000;868.0000000000;875.9500000000
FX.USD.MXN.3M;Price;1,339.1600000000;1,347.3400000000;1,355.5200000000
FX.USD.MXN.6M;Price;2,604.9300000000;2,617.9450000000;2,630.9600000000
FX.USD.MXN.9M;Price;3,820.4200000000;3,844.1600000000;3,867.9000000000
FX.USD.MXN.1Y;Price;5,161.5000000000;5,224.7500000000;5,288.0000000000
Swap.26M.MXN.F-TIIE.1D/USD.SOFR.1D.FRBNY;Spread;19.5547000000;23.0000000000;26.4453000000
Swap.39M.MXN.F-TIIE.1D/USD.SOFR.1D.FRBNY;Spread;20.5000000000;24.0000000000;27.5000000000
Swap.52M.MXN.F-TIIE.1D/USD.SOFR.1D.FRBNY;Spread;20.0094000000;23.5000000000;26.9906000000
Swap.65M.MXN.F-TIIE.1D/USD.SOFR.1D.FRBNY;Spread;17.5000000000;21.0000000000;24.5000000000
Swap.91M.MXN.F-TIIE.1D/USD.SOFR.1D.FRBNY;Spread;19.0000000000;22.5000000000;26.0000000000
Swap.130M.MXN.F-TIIE.1D/USD.SOFR.1D.FRBNY;Spread;22.0000000000;25.5000000000;29.0000000000
Swap.195M.MXN.F-TIIE.1D/USD.SOFR.1D.FRBNY;Spread;26.5705000000;31.0000000000;35.4295000000
Swap.260M.MXN.F-TIIE.1D/USD.SOFR.1D.FRBNY;Spread;30.5000000000;34.0000000000;37.5000000000
Swap.390M.MXN.F-TIIE.1D/USD.SOFR.1D.FRBNY;Spread;33.0001000000;36.5000000000;39.9999000000
