Quote Name;Type;BID;MID;ASK
MM.MXN.F-TIIE.ON.BANXICO;Yield;6.4900000;6.4900000;6.4900000
Swap.3M.MXN.F-TIIE.1D/4W.BANXICO;Yield;6.5097000;6.5300000;6.5503000
Swap.6M.MXN.F-TIIE.1D/4W.BANXICO;Yield;6.5500000;6.5700000;6.5900000
Swap.9M.MXN.F-TIIE.1D/4W.BANXICO;Yield;6.5951000;6.6150000;6.6349000
Swap.13M.MXN.F-TIIE.1D/4W.BANXICO;Yield;6.6803000;6.7000000;6.7197000
Swap.26M.MXN.F-TIIE.1D/4W.BANXICO;Yield;7.0380000;7.0550000;7.0720000
Swap.39M.MXN.F-TIIE.1D/4W.BANXICO;Yield;7.3205000;7.3350000;7.3495000
Swap.52M.MXN.F-TIIE.1D/4W.BANXICO;Yield;7.5384000;7.5550000;7.5716000
Swap.65M.MXN.F-TIIE.1D/4W.BANXICO;Yield;7.6900000;7.7070000;7.7240000
Swap.91M.MXN.F-TIIE.1D/4W.BANXICO;Yield;7.9432000;7.9600000;7.9768000
Swap.130M.MXN.F-TIIE.1D/4W.BANXICO;Yield;8.2145000;8.2300000;8.2455000
Swap.195M.MXN.F-TIIE.1D/4W.BANXICO;Yield;8.4814000;8.5000000;8.5186000
Swap.260M.MXN.F-TIIE.1D/4W.BANXICO;Yield;8.5623000;8.5800000;8.5977000
Swap.390M.MXN.F-TIIE.1D/4W.BANXICO;Yield;8.5319000;8.5500000;8.5681000
