Quote Name;Type;BID;MID;ASK
MM.MXN.F-TIIE.ON.BANXICO;Yield;6.49000000;6.49000000;6.49000000
Swap.3M.MXN.F-TIIE.1D/4W.BANXICO;Yield;6.50970000;6.53000000;6.55030000
Swap.6M.MXN.F-TIIE.1D/4W.BANXICO;Yield;6.55000000;6.57000000;6.59000000
Swap.9M.MXN.F-TIIE.1D/4W.BANXICO;Yield;6.59510000;6.61500000;6.63490000
Swap.13M.MXN.F-TIIE.1D/4W.BANXICO;Yield;6.68030000;6.70000000;6.71970000
Swap.26M.MXN.F-TIIE.1D/4W.BANXICO;Yield;7.03800000;7.05500000;7.07200000
Swap.39M.MXN.F-TIIE.1D/4W.BANXICO;Yield;7.32050000;7.33500000;7.34950000
Swap.52M.MXN.F-TIIE.1D/4W.BANXICO;Yield;7.53840000;7.55500000;7.57160000
Swap.65M.MXN.F-TIIE.1D/4W.BANXICO;Yield;7.69000000;7.70700000;7.72400000
Swap.91M.MXN.F-TIIE.1D/4W.BANXICO;Yield;7.94320000;7.96000000;7.97680000
Swap.130M.MXN.F-TIIE.1D/4W.BANXICO;Yield;8.21450000;8.23000000;8.24550000
Swap.195M.MXN.F-TIIE.1D/4W.BANXICO;Yield;8.48140000;8.50000000;8.51860000
Swap.260M.MXN.F-TIIE.1D/4W.BANXICO;Yield;8.56230000;8.58000000;8.59770000
Swap.390M.MXN.F-TIIE.1D/4W.BANXICO;Yield;8.53190000;8.55000000;8.56810000
