Quote Name;Type;BID;MID;ASK
MM.USD.SOFR.ON.LIBOR01;Yield;3.64000000;3.64000000;3.64000000
Swap.1M.USD.SOFR.1D/1Y.LIBOR01;Yield;3.63792000;3.64040000;3.64288000
Swap.2M.USD.SOFR.1D/1Y.LIBOR01;Yield;3.69353000;3.69590000;3.69827000
Swap.3M.USD.SOFR.1D/1Y.LIBOR01;Yield;3.73582000;3.73850000;3.74118000
Swap.6M.USD.SOFR.1D/1Y.LIBOR01;Yield;3.85172000;3.85421500;3.85671000
Swap.9M.USD.SOFR.1D/1Y.LIBOR01;Yield;3.93496000;3.93735000;3.93974000
Swap.1Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.00744000;4.00920000;4.01096000
Swap.18M.USD.SOFR.1D/1Y.LIBOR01;Yield;4.03601000;4.03825000;4.04049000
Swap.2Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.05913000;4.06040000;4.06167000
Swap.3Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.06991000;4.07121500;4.07252000
Swap.4Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.08000000;4.08135000;4.08270000
Swap.5Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.10077000;4.10195000;4.10313000
Swap.6Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.13232000;4.13364000;4.13496000
Swap.7Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.16789000;4.16925000;4.17061000
Swap.8Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.20429000;4.20565000;4.20701000
Swap.9Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.24233000;4.24360000;4.24487000
Swap.10Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.28166000;4.28291000;4.28416000
Swap.12Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.35857000;4.36000000;4.36143000
Swap.15Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.45686000;4.45840500;4.45995000
Swap.20Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.54189000;4.54340000;4.54491000
Swap.25Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.54619000;4.54770000;4.54921000
Swap.30Y.USD.SOFR.1D/1Y.LIBOR01;Yield;4.51246000;4.51385500;4.51525000
