Term;Exp;Day;Cal Days;RR25;RR10;ATM;BF25;BF10
1D;02/09/2026;WED;1.00000;-0.46500;-0.81000;3.90000;0.14500;0.43000
1W;08/09/2026;TUE;7.00000;-0.42300;-0.77200;4.47500;0.14300;0.47700
2W;15/09/2026;TUE;14.00000;-0.38300;-0.72000;4.86200;0.14700;0.50800
3W;22/09/2026;TUE;21.00000;-0.35000;-0.64700;5.11700;0.15000;0.53200
1M;01/10/2026;THU;30.00000;-0.33500;-0.61300;5.27700;0.15500;0.55200
2M;30/10/2026;FRI;59.00000;-0.31500;-0.58800;5.51500;0.17500;0.63800
3M;01/12/2026;TUE;91.00000;-0.29000;-0.53300;5.56500;0.19000;0.70000
4M;30/12/2026;WED;120.00000;-0.27500;-0.50500;5.68300;0.21000;0.78200
6M;01/03/2027;MON;181.00000;-0.25300;-0.46700;5.79500;0.23300;0.88500
9M;01/06/2027;TUE;273.00000;-0.25500;-0.48500;6.19500;0.27300;1.03000
1Y;01/09/2027;WED;365.00000;-0.24800;-0.45200;6.35700;0.31000;1.15000
18M;01/03/2028;WED;547.00000;-0.21500;-0.38800;6.67500;0.33800;1.24200
2Y;01/09/2028;FRI;731.00000;-0.19000;-0.34200;6.83500;0.35200;1.28800
