Term;Exp;Day;Cal Days;Trade Days;Trade Vol;RR25;RR10;ATM;BF25;BF10
O/N;02/09/2026;WED;1.0000;1.0000;10.5930;0.4280;0.9350;10.5920;0.1800;0.7250
1W;08/09/2026;TUE;7.0000;7.0000;9.4250;0.5500;0.9500;9.4250;0.2100;0.6650
2W;15/09/2026;TUE;14.0000;14.0000;10.3480;0.7900;1.4120;10.3480;0.2070;0.6900
3W;22/09/2026;TUE;21.0000;21.0000;10.8180;1.1270;2.0550;10.8170;0.2230;0.7400
1M;01/10/2026;THU;30.0000;30.0000;11.2400;1.3430;2.4700;11.2400;0.2400;0.7870
2M;29/10/2026;THU;58.0000;58.0000;16.7450;1.4630;2.7340;16.7450;0.2100;0.5800
3M;01/12/2026;TUE;91.0000;91.0420;15.3760;1.6150;3.0350;15.3800;0.2150;0.6380
4M;30/12/2026;WED;120.0000;120.0420;14.8900;1.8130;3.4230;14.8930;0.2450;0.7080
6M;01/03/2027;MON;181.0000;181.0420;14.3010;2.0220;3.8480;14.3030;0.2850;0.7930
9M;01/06/2027;TUE;273.0000;273.0000;14.3300;2.1730;4.2500;14.3300;0.3320;0.9480
1Y;01/09/2027;WED;365.0000;365.0000;14.5200;2.3750;4.5720;14.5200;0.4020;1.0800
18M;01/03/2028;WED;547.0000;547.0420;14.7040;2.3250;4.4380;14.7050;0.4370;1.1850
2Y;01/09/2028;FRI;731.0000;731.0420;14.7920;2.3030;4.3830;14.7930;0.4680;1.2520
