Term;Exp;Day;Cal Days;Trade Days;Trade Vol;RR25;RR10;ATM;BF25;BF10
O/N;02/09/2026;WED;1.0000;1.0000;15.4300000;3.8150000;5.9450000;15.4300000;2.6000000;4.5950000
1W;08/09/2026;TUE;7.0000;7.0000;11.4250000;1.9500000;3.3500000;11.4250000;1.2100000;2.2650000
2W;15/09/2026;TUE;14.0000;14.0000;11.8550000;1.8450000;3.2200000;11.8550000;0.9600000;1.8950000
3W;22/09/2026;TUE;21.0000;21.0000;12.0300000;1.9750000;3.5100000;12.0300000;0.8300000;1.7100000
1M;01/10/2026;THU;30.0000;30.0000;12.2400000;2.0450000;3.6700000;12.2400000;0.7400000;1.5900000
2M;29/10/2026;THU;58.0000;58.0000;17.5450000;2.0250000;3.6950000;17.5450000;0.6100000;1.2200000
3M;01/12/2026;TUE;91.0000;91.0420;16.1800000;2.1750000;3.9950000;16.1800000;0.6150000;1.2800000
4M;30/12/2026;WED;120.0000;120.0420;15.6850000;2.3650000;4.3700000;15.6850000;0.6400000;1.3400000
6M;01/03/2027;MON;181.0000;181.0420;15.1050000;2.5850000;4.8100000;15.1050000;0.6850000;1.4350000
9M;01/06/2027;TUE;273.0000;273.0000;15.1350000;2.7350000;5.2150000;15.1350000;0.7350000;1.5900000
1Y;01/09/2027;WED;365.0000;365.0000;15.3250000;2.9400000;5.5400000;15.3250000;0.8050000;1.7250000
18M;01/03/2028;WED;547.0000;547.0420;15.5000000;2.8800000;5.3900000;15.5000000;0.8350000;1.8200000
2Y;01/09/2028;FRI;731.0000;731.0420;15.3900000;2.7200000;5.1000000;15.3900000;0.7650000;1.7300000
