Term;Exp;Day;Cal Days;Trade Days;Trade Vol;RR25;RR10;ATM;BF25;BF10
O/N;02/09/2026;WED;1.0000;1.0000;5.7550000;-2.9600000;-4.0750000;5.7550000;-2.2400000;-3.1450000
1W;08/09/2026;TUE;7.0000;7.0000;7.4250000;-0.8500000;-1.4500000;7.4250000;-0.7900000;-0.9350000
2W;15/09/2026;TUE;14.0000;14.0000;8.8400000;-0.2650000;-0.3950000;8.8400000;-0.5450000;-0.5150000
3W;22/09/2026;TUE;21.0000;21.0000;9.6050000;0.2800000;0.6000000;9.6050000;-0.3850000;-0.2300000
1M;01/10/2026;THU;30.0000;30.0000;10.2400000;0.6400000;1.2700000;10.2400000;-0.2600000;-0.0150000
2M;29/10/2026;THU;58.0000;58.0000;15.9450000;0.9000000;1.7750000;15.9450000;-0.1900000;-0.0600000
3M;01/12/2026;TUE;91.0000;91.0420;14.5800000;1.0550000;2.0750000;14.5800000;-0.1850000;-0.0050000
4M;30/12/2026;WED;120.0000;120.0420;14.1000000;1.2600000;2.4750000;14.1000000;-0.1500000;0.0750000
6M;01/03/2027;MON;181.0000;181.0420;13.5000000;1.4600000;2.8850000;13.5000000;-0.1150000;0.1500000
9M;01/06/2027;TUE;273.0000;273.0000;13.5250000;1.6100000;3.2850000;13.5250000;-0.0700000;0.3050000
1Y;01/09/2027;WED;365.0000;365.0000;13.7150000;1.8100000;3.6050000;13.7150000;0.0000000;0.4350000
18M;01/03/2028;WED;547.0000;547.0420;13.9100000;1.7700000;3.4850000;13.9100000;0.0400000;0.5500000
2Y;01/09/2028;FRI;731.0000;731.0420;14.1950000;1.8850000;3.6650000;14.1950000;0.1700000;0.7750000
