Term;Exp;Day;Cal Days;Trade Days;Trade Vol;RR25;RR10;ATM;BF25;BF10
O/N;02/09/2026;WED;1.0000;1.0000;10.5925000;0.4275000;0.9350000;10.5925000;0.1800000;0.7250000
1W;08/09/2026;TUE;7.0000;7.0000;9.4250000;0.5500000;0.9500000;9.4250000;0.2100000;0.6650000
2W;15/09/2026;TUE;14.0000;14.0000;10.3475000;0.7900000;1.4125000;10.3475000;0.2075000;0.6900000
3W;22/09/2026;TUE;21.0000;21.0000;10.8175000;1.1275000;2.0550000;10.8175000;0.2225000;0.7400000
1M;01/10/2026;THU;30.0000;30.0000;11.2400000;1.3425000;2.4700000;11.2400000;0.2400000;0.7875000
2M;29/10/2026;THU;58.0000;58.0000;16.7450000;1.4625000;2.7350000;16.7450000;0.2100000;0.5800000
3M;01/12/2026;TUE;91.0000;91.0420;15.3800000;1.6150000;3.0350000;15.3800000;0.2150000;0.6375000
4M;30/12/2026;WED;120.0000;120.0420;14.8925000;1.8125000;3.4225000;14.8925000;0.2450000;0.7075000
6M;01/03/2027;MON;181.0000;181.0420;14.3025000;2.0225000;3.8475000;14.3025000;0.2850000;0.7925000
9M;01/06/2027;TUE;273.0000;273.0000;14.3300000;2.1725000;4.2500000;14.3300000;0.3325000;0.9475000
1Y;01/09/2027;WED;365.0000;365.0000;14.5200000;2.3750000;4.5725000;14.5200000;0.4025000;1.0800000
18M;01/03/2028;WED;547.0000;547.0420;14.7050000;2.3250000;4.4375000;14.7050000;0.4375000;1.1850000
2Y;01/09/2028;FRI;731.0000;731.0420;14.7925000;2.3025000;4.3825000;14.7925000;0.4675000;1.2525000
