Term;Exp;Day;Cal Days;Trade Days;Trade Vol;RR25;RR10;ATM;BF25;BF10
1D;02/09/2026;WED;1.0000;1.0000;9.7550;0.6550;1.2870;9.7550;0.2180;0.7680
1W;08/09/2026;TUE;7.0000;7.0000;10.6380;1.2400;2.4400;10.6370;0.2750;0.9500
2W;15/09/2026;TUE;14.0000;14.0000;11.5000;1.3200;2.5870;11.5000;0.2900;0.9700
3W;22/09/2026;TUE;21.0000;21.0000;11.3930;1.4170;2.7800;11.3930;0.2900;0.9500
1M;01/10/2026;THU;30.0000;30.0000;11.3350;1.5430;3.0150;11.3350;0.3020;0.9500
2M;30/10/2026;FRI;59.0000;59.0420;11.5610;1.6200;3.1700;11.5650;0.3180;0.9730
3M;01/12/2026;TUE;91.0000;91.0420;11.5820;1.7250;3.3880;11.5850;0.3480;1.0250
4M;29/12/2026;TUE;119.0000;119.0420;11.5800;1.7950;3.5320;11.5820;0.3770;1.0900
6M;01/03/2027;MON;181.0000;181.0420;11.5640;1.8650;3.6950;11.5650;0.4100;1.1650
9M;01/06/2027;TUE;273.0000;273.0000;11.7550;1.9270;3.8500;11.7550;0.4580;1.2550
1Y;01/09/2027;WED;365.0000;365.0000;11.9150;1.9750;3.9700;11.9150;0.4920;1.3300
18M;01/03/2028;WED;547.0000;547.0420;12.1350;1.9950;4.0150;12.1350;0.5620;1.4700
2Y;01/09/2028;FRI;731.0000;731.0420;12.2400;2.0050;4.0440;12.2400;0.6030;1.5480
