Term;Exp;Day;Cal Days;Trade Days;Trade Vol;RR25;RR10;ATM;BF25;BF10
1D;02/09/2026;WED;1.00000;1.00000;15.78300;1.64500;3.21800;15.78200;0.42500;1.42700
1W;08/09/2026;TUE;7.00000;7.00000;13.81800;1.67700;3.33600;13.81700;0.44500;1.53500
2W;15/09/2026;TUE;14.00000;14.00000;14.27500;1.94300;3.69000;14.27500;0.46800;1.54500
3W;22/09/2026;TUE;21.00000;21.00000;14.36000;2.20800;4.27700;14.36000;0.50000;1.56000
1M;01/10/2026;THU;30.00000;30.00000;14.51800;2.44800;4.87400;14.51800;0.54000;1.58300
2M;29/10/2026;THU;58.00000;58.00000;14.21300;2.34000;4.74800;14.21300;0.56200;1.64000
3M;01/12/2026;TUE;91.00000;91.04200;13.98700;2.34800;4.72400;13.99000;0.55200;1.68500
4M;30/12/2026;WED;120.00000;120.04200;13.99800;2.36000;4.72500;14.00000;0.59000;1.70500
6M;01/03/2027;MON;181.00000;181.04200;13.99100;2.35700;4.71900;13.99200;0.65200;1.73200
9M;01/06/2027;TUE;273.00000;273.00000;14.12300;2.38500;4.78700;14.12200;0.67300;1.86500
1Y;01/09/2027;WED;365.00000;365.00000;14.25800;2.42200;4.78100;14.25800;0.70800;1.93800
18M;01/03/2028;WED;547.00000;547.04200;14.26400;2.45800;4.86400;14.26500;0.74800;1.96000
2Y;01/09/2028;FRI;731.00000;731.04200;14.26500;2.46000;4.86600;14.26500;0.77200;1.99500
