Term;Exp;Day;Cal Days;Trade Days;Trade Vol;RR25;RR10;ATM;BF25;BF10
1W;08/09/2026;TUE;7.00000;7.00000;4.72000;0.72500;1.29000;4.72000;0.24500;0.87500
2W;15/09/2026;TUE;14.00000;14.00000;5.56800;1.00000;1.76300;5.56700;0.26500;0.95500
3W;22/09/2026;TUE;21.00000;21.00000;6.06300;1.21800;2.15800;6.06200;0.27800;0.98800
1M;01/10/2026;THU;30.00000;30.00000;6.43500;1.36000;2.41000;6.43500;0.29000;1.02500
2M;29/10/2026;THU;58.00000;58.00000;7.07000;1.81500;3.29400;7.07000;0.32500;1.12000
3M;01/12/2026;TUE;91.00000;91.04200;7.53800;2.04500;3.78900;7.54000;0.34500;1.19000
4M;30/12/2026;WED;120.00000;120.04200;8.03600;2.09800;3.90000;8.03700;0.36300;1.19800
6M;01/03/2027;MON;181.00000;181.04200;8.48200;2.14000;4.00400;8.48200;0.38000;1.21000
9M;01/06/2027;TUE;273.00000;273.00000;9.21500;2.20000;4.16900;9.21500;0.39500;1.23500
1Y;01/09/2027;WED;365.00000;365.00000;9.72000;2.28800;4.30800;9.72000;0.42500;1.26500
18M;01/03/2028;WED;547.00000;547.04200;10.06700;2.26800;4.33000;10.06800;0.45300;1.32000
2Y;01/09/2028;FRI;731.00000;731.04200;10.23200;2.26000;4.35300;10.23200;0.47300;1.35700
