Term;Exp;Day;Cal Days;Trade Days;Trade Vol;RR25;RR10;ATM;BF25;BF10
1W;08/09/2026;TUE;7.00000;7.00000;5.7200000;1.4250000;2.4900000;5.7200000;0.7450000;1.6750000
2W;15/09/2026;TUE;14.00000;14.00000;6.3200000;1.5250000;2.6650000;6.3200000;0.6400000;1.5550000
3W;22/09/2026;TUE;21.00000;21.00000;6.6150000;1.6050000;2.8200000;6.6150000;0.5550000;1.4300000
1M;01/10/2026;THU;30.00000;30.00000;6.8350000;1.6400000;2.8900000;6.8350000;0.4900000;1.3450000
2M;29/10/2026;THU;58.00000;58.00000;7.4200000;2.0600000;3.7150000;7.4200000;0.5000000;1.4000000
3M;01/12/2026;TUE;91.00000;91.04200;7.8400000;2.2550000;4.1500000;7.8400000;0.4950000;1.4300000
4M;30/12/2026;WED;120.00000;120.04200;8.3350000;2.3050000;4.2550000;8.3350000;0.5100000;1.4350000
6M;01/03/2027;MON;181.00000;181.04200;8.7850000;2.3500000;4.3650000;8.7850000;0.5300000;1.4500000
9M;01/06/2027;TUE;273.00000;273.00000;9.5150000;2.4100000;4.5300000;9.5150000;0.5450000;1.4750000
1Y;01/09/2027;WED;365.00000;365.00000;10.0200000;2.5000000;4.6700000;10.0200000;0.5750000;1.5050000
18M;01/03/2028;WED;547.00000;547.04200;10.3650000;2.4750000;4.6850000;10.3650000;0.6000000;1.5550000
2Y;01/09/2028;FRI;731.00000;731.04200;10.5350000;2.4700000;4.7150000;10.5350000;0.6250000;1.6000000
