Term;Exp;Day;Cal Days;Trade Days;Trade Vol;RR25;RR10;ATM;BF25;BF10
1W;08/09/2026;TUE;7.00000;7.00000;3.7200000;0.0250000;0.0900000;3.7200000;-0.2550000;0.0750000
2W;15/09/2026;TUE;14.00000;14.00000;4.8150000;0.4750000;0.8600000;4.8150000;-0.1100000;0.3550000
3W;22/09/2026;TUE;21.00000;21.00000;5.5100000;0.8300000;1.4950000;5.5100000;0.0000000;0.5450000
1M;01/10/2026;THU;30.00000;30.00000;6.0350000;1.0800000;1.9300000;6.0350000;0.0900000;0.7050000
2M;29/10/2026;THU;58.00000;58.00000;6.7200000;1.5700000;2.8750000;6.7200000;0.1500000;0.8400000
3M;01/12/2026;TUE;91.00000;91.04200;7.2400000;1.8350000;3.4300000;7.2400000;0.1950000;0.9500000
4M;30/12/2026;WED;120.00000;120.04200;7.7400000;1.8900000;3.5450000;7.7400000;0.2150000;0.9600000
6M;01/03/2027;MON;181.00000;181.04200;8.1800000;1.9300000;3.6450000;8.1800000;0.2300000;0.9700000
9M;01/06/2027;TUE;273.00000;273.00000;8.9150000;1.9900000;3.8100000;8.9150000;0.2450000;0.9950000
1Y;01/09/2027;WED;365.00000;365.00000;9.4200000;2.0750000;3.9450000;9.4200000;0.2750000;1.0250000
18M;01/03/2028;WED;547.00000;547.04200;9.7700000;2.0600000;3.9750000;9.7700000;0.3050000;1.0850000
2Y;01/09/2028;FRI;731.00000;731.04200;9.9300000;2.0500000;3.9900000;9.9300000;0.3200000;1.1150000
