Term;Exp;Day;Cal Days;Trade Days;Trade Vol;RR25;RR10;ATM;BF25;BF10
1W;08/09/2026;TUE;7.00000;7.00000;4.7200000;0.7250000;1.2900000;4.7200000;0.2450000;0.8750000
2W;15/09/2026;TUE;14.00000;14.00000;5.5675000;1.0000000;1.7625000;5.5675000;0.2650000;0.9550000
3W;22/09/2026;TUE;21.00000;21.00000;6.0625000;1.2175000;2.1575000;6.0625000;0.2775000;0.9875000
1M;01/10/2026;THU;30.00000;30.00000;6.4350000;1.3600000;2.4100000;6.4350000;0.2900000;1.0250000
2M;29/10/2026;THU;58.00000;58.00000;7.0700000;1.8150000;3.2950000;7.0700000;0.3250000;1.1200000
3M;01/12/2026;TUE;91.00000;91.04200;7.5400000;2.0450000;3.7900000;7.5400000;0.3450000;1.1900000
4M;30/12/2026;WED;120.00000;120.04200;8.0375000;2.0975000;3.9000000;8.0375000;0.3625000;1.1975000
6M;01/03/2027;MON;181.00000;181.04200;8.4825000;2.1400000;4.0050000;8.4825000;0.3800000;1.2100000
9M;01/06/2027;TUE;273.00000;273.00000;9.2150000;2.2000000;4.1700000;9.2150000;0.3950000;1.2350000
1Y;01/09/2027;WED;365.00000;365.00000;9.7200000;2.2875000;4.3075000;9.7200000;0.4250000;1.2650000
18M;01/03/2028;WED;547.00000;547.04200;10.0675000;2.2675000;4.3300000;10.0675000;0.4525000;1.3200000
2Y;01/09/2028;FRI;731.00000;731.04200;10.2325000;2.2600000;4.3525000;10.2325000;0.4725000;1.3575000
