Term;Exp;Day;Cal Days;Trade Days;Trade Vol;RR25;RR10;ATM;BF25;BF10
1W;08/09/2026;TUE;7.00000;7.00000;6.47500;0.84400;1.65400;6.47400;0.12700;0.53100
2W;15/09/2026;TUE;14.00000;14.00000;6.54600;0.94900;1.86900;6.54600;0.14200;0.60500
3W;22/09/2026;TUE;21.00000;21.00000;6.68600;1.06400;2.10700;6.68600;0.16900;0.72700
1M;01/10/2026;THU;30.00000;30.00000;6.83300;1.08600;2.15000;6.83300;0.16600;0.71700
2M;30/10/2026;FRI;59.00000;59.04200;7.12100;1.17200;2.33300;7.12300;0.18600;0.80400
3M;01/12/2026;TUE;91.00000;91.04200;7.22500;1.23300;2.46600;7.22600;0.20500;0.88300
6M;01/03/2027;MON;181.00000;181.04200;7.49400;1.33500;2.69700;7.49500;0.23600;1.01800
9M;01/06/2027;TUE;273.00000;273.00000;7.85200;1.43800;2.92900;7.85200;0.26800;1.15100
1Y;01/09/2027;WED;365.00000;365.00000;8.27500;1.52800;3.13900;8.27500;0.29900;1.27700
2Y;01/09/2028;FRI;731.00000;731.04200;8.71800;1.59500;3.44700;8.71900;0.46200;1.91400
